LLAVE|Longitud|Latitud
BOYACA-SABOYA|-73.764661|5.697733
BOYACA-SACHICA|-73.542634|5.583592
BOYACA-SAMACA|-73.485644|5.492315
BOYACA-SAN EDUARDO|-73.077143|5.223956
BOYACA-SAN JOSE DE PARE|-73.545372|6.018976
BOYACA-SAN LUIS DE GACENO|-73.168359|4.819690
BOYACA-SAN MATEO|-72.555264|6.401683
BOYACA-SAN MIGUEL DE SEMA|-73.722005|5.518086
BOYACA-SAN PABLO DE BORBUR|-74.069964|5.650676
BOYACA-SANTANA|-73.481226|6.057413
BOYACA-SANTA MARIA|-73.263518|4.857193
BOYACA-SANTA ROSA DE VITERBO|-72.982461|5.874556
BOYACA-SANTA SOFIA|-73.602707|5.713269
BOYACA-SATIVANORTE|-72.708458|6.131136
BOYACA-SATIVASUR|-72.712438|6.093182
BOYACA-SIACHOQUE|-73.244649|5.511815
BOYACA-SOATA|-72.684025|6.331912
BOYACA-SOCOTA|-72.636653|6.041162
BOYACA-SOCHA|-72.691966|5.996713
BOYACA-SOGAMOSO|-72.923048|5.725689
BOYACA-SOMONDOCO|-73.433393|4.985726
BOYACA-SORA|-73.450153|5.566840
BOYACA-SOTAQUIRA|-73.247334|5.765231
BOYACA-SORACA|-73.332806|5.500905
BOYACA-SUSACON|-72.690289|6.230332
BOYACA-SUTAMARCHAN|-73.620586|5.619781
BOYACA-SUTATENZA|-73.452317|5.022989
BOYACA-TASCO|-72.781011|5.909821
BOYACA-TENZA|-73.420589|5.077074
BOYACA-TIBANA|-73.396457|5.317251
BOYACA-TIBASOSA|-72.999449|5.747230
BOYACA-TINJACA|-73.646847|5.579713
BOYACA-TIPACOQUE|-72.693173|6.418586
BOYACA-TOCA|-73.184790|5.566469
BOYACA-TOGÜI|-73.513655|5.937438
BOYACA-TOPAGA|-72.832245|5.768201
BOYACA-TOTA|-72.985898|5.560497
BOYACA-TUNUNGUA|-73.933155|5.730582
BOYACA-TURMEQUE|-73.491847|5.323253
BOYACA-TUTA|-73.225973|5.690968
BOYACA-TUTAZA|-72.856035|6.032608
BOYACA-UMBITA|-73.456917|5.221176
BOYACA-VENTAQUEMADA|-73.522373|5.368734
BOYACA-VIRACACHA|-73.296900|5.436789
BOYACA-ZETAQUIRA|-73.169052|5.282116
CALDAS-MANIZALES|-75.491049|5.057688
CALDAS-AGUADAS|-75.454870|5.610244
CALDAS-ANSERMA|-75.784343|5.236474
CALDAS-ARANZAZU|-75.491255|5.271142
CALDAS-BELALCAZAR|-75.811918|4.993794
CALDAS-CHINCHINA|-75.607481|4.985813
CALDAS-FILADELFIA|-75.562474|5.297091
CALDAS-LA DORADA|-74.658206|5.444406
CALDAS-LA MERCED|-75.547908|5.394779
CALDAS-MANZANARES|-75.152829|5.255720
CALDAS-MARMATO|-75.600242|5.474005
CALDAS-MARQUETALIA|-75.053097|5.297525
CALDAS-MARULANDA|-75.259403|5.284330
CALDAS-NEIRA|-75.519842|5.166706
CALDAS-NORCASIA|-74.889544|5.574795
CALDAS-PACORA|-75.459621|5.527172
CALDAS-PALESTINA|-75.621503|5.020571
CALDAS-PENSILVANIA|-75.160299|5.383281
CALDAS-RIOSUCIO|-75.702070|5.423681
CALDAS-RISARALDA|-75.767220|5.164509
CALDAS-SALAMINA|-75.487222|5.403025
CALDAS-SAMANA|-74.992258|5.413086
CALDAS-SAN JOSE|-75.792004|5.081569
CALDAS-SUPIA|-75.649660|5.446843
CALDAS-VICTORIA|-74.911153|5.317420
CALDAS-VILLAMARIA|-75.513761|5.043807
CALDAS-VITERBO|-75.870610|5.062664
CAQUETA-FLORENCIA|-75.608560|1.617923
CAQUETA-ALBANIA|-75.878371|1.328522
CAQUETA-BELEN DE LOS ANDAQUIES|-75.872474|1.415786
CAQUETA-CARTAGENA DEL CHAIRA|-74.847198|1.335135
CAQUETA-CURILLO|-75.919204|1.033474
CAQUETA-EL DONCELLO|-75.283563|1.679872
CAQUETA-EL PAUJIL|-75.326123|1.570373
CAQUETA-LA MONTAÑITA|-75.436408|1.479173
CAQUETA-MILAN|-75.506962|1.290427
CAQUETA-MORELIA|-75.724581|1.487623
CAQUETA-PUERTO RICO|-75.157489|1.908935
CAQUETA-SAN JOSE DEL FRAGUA|-75.973538|1.331948
CAQUETA-SAN VICENTE DEL CAGUAN|-74.767341|2.119786
CAQUETA-SOLANO|-75.253704|0.698978
CAQUETA-SOLITA|-75.619734|0.876668
CAQUETA-VALPARAISO|-75.706584|1.194583
CAUCA-POPAYAN|-76.574065|2.482503
CAUCA-ALMAGUER|-76.855924|1.913360
CAUCA-ARGELIA|-77.249450|2.256755
CAUCA-BALBOA|-77.215898|2.040479
CAUCA-BOLIVAR|-76.966312|1.837416
CAUCA-BUENOS AIRES|-76.642281|3.015427
CAUCA-CAJIBIO|-76.570884|2.623338
CAUCA-CALDONO|-76.484448|2.798131
CAUCA-CALOTO|-76.408487|3.034071
CAUCA-CORINTO|-76.261314|3.173815
CAUCA-EL TAMBO|-76.810772|2.451371
CAUCA-FLORENCIA|-77.072534|1.682522
CAUCA-GUACHENE|-76.392189|3.134153
CAUCA-GUAPI|-77.888033|2.572918
CAUCA-INZA|-76.063503|2.549183
CAUCA-JAMBALO|-76.323878|2.777837
CAUCA-LA SIERRA|-76.763209|2.179322
CAUCA-LA VEGA|-76.778897|2.001109
CAUCA-LOPEZ DE MICAY|-77.247692|2.846716
CAUCA-MERCADERES|-77.165844|1.775772
CAUCA-MIRANDA|-76.228870|3.253095
CAUCA-MORALES|-76.629221|2.754559
CAUCA-PADILLA|-76.313291|3.220854
CAUCA-PAEZ/BELALCAZAR|-75.971965|2.641367
CAUCA-PATIA|-76.980979|2.115670
CAUCA-PIAMONTE|-76.325764|1.117198
CAUCA-PIENDAMO|-76.528506|2.641988
CAUCA-PUERTO TEJADA|-76.417308|3.233294
CAUCA-PURACE|-76.495639|2.342644
CAUCA-ROSAS|-76.740352|2.260980
CAUCA-SAN SEBASTIAN|-76.769332|1.838374
CAUCA-SANTANDER DE QUILICHAO|-76.485370|3.016054
CAUCA-SANTA ROSA|-76.573973|1.702420
CAUCA-SILVIA|-76.379570|2.611816
CAUCA-SOTARA|-76.613298|2.253134
CAUCA-SUAREZ|-76.693447|2.959702
CAUCA-SUCRE|-76.926277|2.038251
CAUCA-TIMBIO|-76.684239|2.349976
CAUCA-TIMBIQUI|-77.667565|2.777414
CAUCA-TORIBIO|-76.271127|2.951450
CAUCA-TOTORO|-76.402443|2.510229
CAUCA-VILLA RICA|-76.457873|3.177578
CESAR-VALLEDUPAR|-73.259389|10.460481
CESAR-AGUACHICA|-73.599029|8.310337
CESAR-AGUSTIN CODAZZI|-73.238396|10.040458
CESAR-ASTREA|-73.975864|9.498161
CESAR-BECERRIL|-73.279232|9.704606
CESAR-BOSCONIA|-73.888768|9.975095
CESAR-CHIMICHAGUA|-73.813328|9.258271
CESAR-CHIRIGUANA|-73.600144|9.361190
CESAR-CURUMANI|-73.540987|9.201811
CESAR-EL COPEY|-73.962717|10.149525
CESAR-EL PASO|-73.741788|9.668470
CESAR-GAMARRA|-73.743760|8.320449
CESAR-GONZALEZ|-73.380040|8.389604
CESAR-LA GLORIA|-73.803210|8.619298
CESAR-LA JAGUA DE IBIRICO|-73.334228|9.563887
