LLAVE|Longitud|Latitud
VALLE DEL CAUCA-LA UNION|-76.099607|4.533783
VALLE DEL CAUCA-LA VICTORIA|-76.036529|4.523603
VALLE DEL CAUCA-OBANDO|-75.974689|4.575723
VALLE DEL CAUCA-PALMIRA|-76.298583|3.532349
VALLE DEL CAUCA-PRADERA|-76.241820|3.419827
VALLE DEL CAUCA-RESTREPO|-76.523117|3.821348
VALLE DEL CAUCA-RIOFRIO|-76.288313|4.156905
VALLE DEL CAUCA-ROLDANILLO|-76.152287|4.413596
VALLE DEL CAUCA-SAN PEDRO|-76.228538|3.994993
VALLE DEL CAUCA-SEVILLA|-75.930941|4.267033
VALLE DEL CAUCA-TORO|-76.076853|4.608085
VALLE DEL CAUCA-TRUJILLO|-76.318809|4.212051
VALLE DEL CAUCA-TULUA|-76.197700|4.085261
VALLE DEL CAUCA-ULLOA|-75.737747|4.702514
VALLE DEL CAUCA-VERSALLES|-76.199204|4.575019
VALLE DEL CAUCA-VIJES|-76.441965|3.698588
VALLE DEL CAUCA-YOTOCO|-76.382474|3.861215
VALLE DEL CAUCA-YUMBO|-76.499820|3.528969
VALLE DEL CAUCA-ZARZAL|-76.070849|4.392621
ARAUCA-ARAUCA|-70.746350|7.077359
ARAUCA-ARAUQUITA|-71.426751|7.026981
ARAUCA-CRAVO NORTE|-70.204286|6.303913
ARAUCA-FORTUL|-71.768558|6.797076
ARAUCA-PUERTO RONDON|-71.097743|6.283852
ARAUCA-SARAVENA|-71.872333|6.953860
ARAUCA-TAME|-71.758611|6.449379
CASANARE-YOPAL|-72.396915|5.327613
CASANARE-AGUAZUL|-72.546300|5.172691
CASANARE-CHAMEZA|-72.870236|5.214312
CASANARE-HATO COROZAL|-71.764923|6.156172
CASANARE-LA SALINA|-72.333882|6.127825
CASANARE-MANI|-72.281398|4.816827
CASANARE-MONTERREY|-72.895036|4.876845
CASANARE-NUNCHIA|-72.195071|5.636663
CASANARE-OROCUE|-71.338518|4.790270
CASANARE-PAZ DE ARIPORO|-71.890924|5.880037
CASANARE-PORE|-71.992860|5.727730
CASANARE-RECETOR|-72.761146|5.229494
CASANARE-SABANALARGA|-73.038723|4.854618
CASANARE-SACAMA|-72.250276|6.096975
CASANARE-SAN LUIS DE PALENQUE|-71.732925|5.420887
CASANARE-TAMARA|-72.161825|5.829827
CASANARE-TAURAMENA|-72.747252|5.019205
CASANARE-TRINIDAD|-71.663341|5.412215
CASANARE-VILLANUEVA|-72.927468|4.609799
PUTUMAYO-COLON|-76.972302|1.189826
PUTUMAYO-ORITO|-76.873028|0.663817
PUTUMAYO-PUERTO ASIS|-76.497273|0.505047
PUTUMAYO-PUERTO CAICEDO|-76.604832|0.684842
PUTUMAYO-PUERTO GUZMAN|-76.408522|0.962922
PUTUMAYO-PUERTO LEGUIZAMO|-74.782471|-0.191873
PUTUMAYO-SIBUNDOY|-76.917482|1.200116
PUTUMAYO-SAN FRANCISCO|-76.879235|1.174218
PUTUMAYO-SAN MIGUEL (LA DORADA)|-76.912410|0.343272
PUTUMAYO-SAN MIGUEL DE MOCOA|-76.912410|0.343272
PUTUMAYO-SANTIAGO|-77.001823|1.145538
PUTUMAYO-VALLE DEL GUAMUEZ/LA HORMIGA|-76.905969|0.423904
PUTUMAYO-VILLA GARZON/VILLA AMAZONICA|-76.617162|1.028941
SAN ANDRES, PROVIDENCIA Y SANTA CATALINA-SAN ANDRES|-81.696063|12.583014
SAN ANDRES, PROVIDENCIA Y SANTA CATALINA-PROVIDENCIA|-81.370912|13.370100
AMAZONAS-LETICIA|-69.941427|-4.199837
AMAZONAS-PUERTO NARIÑO|-70.364518|-3.780448
GUAINIA-INIRIDA|-67.918837|3.866162
GUAVIARE-SAN JOSE DEL GUAVIARE|-72.638986|2.566428
GUAVIARE-CALAMAR|-72.655172|1.960109
GUAVIARE-EL RETORNO|-72.627186|2.330162
GUAVIARE-MIRAFLORES|-71.950543|1.337574
VAUPES-MITU|-70.234751|1.251191
VAUPES-CARURU|-71.297793|1.014598
VAUPES-TARAIRA|-69.639004|-0.569386
VICHADA-PUERTO CARREÑO|-67.486997|6.186864
VICHADA-LA PRIMAVERA|-70.410420|5.486338
VICHADA-SANTA ROSALIA|-70.859741|5.136431
VICHADA-CUMARIBO|-69.795533|4.446352
